date,stress_score,stress_level,person,emotion
2026-03-10 14:30:40.100176,62.0,Moderate Stress,,
2026-03-10 14:30:40.229475,62.0,Moderate Stress,,
2026-03-10 14:31:06.860526,62.0,Moderate Stress,,
2026-03-10 14:31:06.956474,62.0,Moderate Stress,,
2026-03-10 14:32:11.672139,62.0,Moderate Stress,,
2026-03-10 14:32:37.305398,62.0,Moderate Stress,,
2026-03-10 14:37:02.757246,62.0,Moderate Stress,,
2026-03-10 14:37:27.062260,62.0,Moderate Stress,,
2026-03-10 14:37:27.216900,62.0,Moderate Stress,,
2026-03-10 14:37:27.286047,62.0,Moderate Stress,,
2026-03-10 14:37:27.366267,62.0,Moderate Stress,,
2026-03-10 14:42:23.052905,47.0,Moderate Stress,,
2026-03-10 14:42:23.132355,62.0,Moderate Stress,,
2026-03-10 14:42:23.285922,62.0,Moderate Stress,,
2026-03-10 14:42:23.375645,62.0,Moderate Stress,,
2026-03-10 14:42:23.447372,62.0,Moderate Stress,,
2026-03-10 14:46:31.560798,62.0,Moderate Stress,,
2026-03-10 14:46:49.542925,62.0,Moderate Stress,,
2026-03-10 14:49:11.961857,62.0,Moderate Stress,,
2026-03-10 14:49:12.077816,62.0,Moderate Stress,,
2026-03-10 15:10:04.102317,62.0,Moderate Stress,,
2026-03-10 15:10:48.038580,62.0,Moderate Stress,,
2026-03-10 15:11:00.333208,62.0,Moderate Stress,,
2026-03-10 15:11:06.984774,62.0,Moderate Stress,,
2026-03-10 15:19:12.931911,62.0,Moderate Stress,,
2026-03-10 15:19:17.396903,62.0,Moderate Stress,,
2026-03-11 10:55:22.055891,68.0,Moderate Stress,1.0,
2026-03-11 10:55:46.809510,68.0,Moderate Stress,1.0,
2026-03-11 11:26:17.597498,77.0,High Stress,Person 2,
2026-03-11 11:26:17.755694,77.0,High Stress,Person 1,
2026-03-11 11:27:38.483990,80.0,High Stress,Person 1,
2026-03-11 11:33:18.448314,77.0,High Stress,Person 1,
2026-03-11 11:33:48.622335,77.0,High Stress,Person 1,
2026-03-11 11:48:36.651914,77.0,High Stress,Person 1,
2026-03-11 11:49:06.977451,83.0,High Stress,Person 1,
2026-03-11 11:49:37.760322,83.0,High Stress,Person 1,
2026-03-11 11:49:52.655971,83.0,High Stress,Person 1,
2026-03-11 11:50:13.877868,87.0,High Stress,Person 1,
2026-03-11 16:14:06.154914,98.0,High Stress,,
2026-03-11 16:15:13.406666,98.0,High Stress,,
2026-03-12 15:41:05.014128,64.0,Moderate Stress,,
2026-03-12 15:41:05.114858,83.0,High Stress,,
2026-03-12 15:42:01.821875,64.0,Moderate Stress,,
2026-03-12 15:42:01.880295,83.0,High Stress,,
2026-03-12 20:24:32.146972,55.51,,,Neutral
2026-03-12 20:24:32.244116,51.01,,,Neutral
2026-03-12 20:25:05.919954,55.51,,,Neutral
2026-03-12 20:25:05.977840,51.01,,,Neutral
2026-04-11 20:34:50.330465,43.4
2026-04-11 20:38:22.120585,63.0
